Epoch,Cycle,Success
0/20,0/20,0.06
0/20,1/20,0.04
0/20,2/20,0.1
0/20,3/20,0.11
0/20,4/20,0.04
0/20,5/20,0.09
0/20,6/20,0.09
0/20,7/20,0.11
0/20,8/20,0.1
0/20,9/20,0.07
0/20,10/20,0.07
0/20,11/20,0.07
0/20,12/20,0.05
0/20,13/20,0.08
0/20,14/20,0.04
0/20,15/20,0.06
0/20,16/20,0.03
0/20,17/20,0.07
0/20,18/20,0.06
0/20,19/20,0.06
1/20,0/20,0.12
1/20,1/20,0.1
1/20,2/20,0.04
1/20,3/20,0.05
1/20,4/20,0.07
1/20,5/20,0.03
1/20,6/20,0.09
1/20,7/20,0.04
1/20,8/20,0.06
1/20,9/20,0.05
1/20,10/20,0.03
1/20,11/20,0.02
1/20,12/20,0.03
1/20,13/20,0.09
1/20,14/20,0.05
1/20,15/20,0.07
1/20,16/20,0.07
1/20,17/20,0.08
1/20,18/20,0.04
1/20,19/20,0.1
2/20,0/20,0.05
2/20,1/20,0.08
2/20,2/20,0.09
2/20,3/20,0.08
2/20,4/20,0.08
2/20,5/20,0.06
2/20,6/20,0.06
2/20,7/20,0.03
2/20,8/20,0.08
2/20,9/20,0.1
2/20,10/20,0.07
2/20,11/20,0.07
2/20,12/20,0.07
2/20,13/20,0.11
2/20,14/20,0.07
2/20,15/20,0.02
2/20,16/20,0.06
2/20,17/20,0.07
2/20,18/20,0.11
2/20,19/20,0.09
3/20,0/20,0.12
3/20,1/20,0.14
3/20,2/20,0.1
3/20,3/20,0.04
3/20,4/20,0.04
3/20,5/20,0.05
3/20,6/20,0.11
3/20,7/20,0.04
3/20,8/20,0.07
3/20,9/20,0.03
3/20,10/20,0.11
3/20,11/20,0.07
3/20,12/20,0.03
3/20,13/20,0.09
3/20,14/20,0.06
3/20,15/20,0.05
3/20,16/20,0.08
3/20,17/20,0.1
3/20,18/20,0.08
3/20,19/20,0.1
4/20,0/20,0.07
4/20,1/20,0.05
4/20,2/20,0.1
4/20,3/20,0.05
4/20,4/20,0.11
4/20,5/20,0.11
4/20,6/20,0.07
4/20,7/20,0.08
4/20,8/20,0.05
4/20,9/20,0.07
4/20,10/20,0.06
4/20,11/20,0.05
4/20,12/20,0.09
4/20,13/20,0.06
4/20,14/20,0.07
4/20,15/20,0.07
